id,date,max_capacity,start_time,is_open,created_at,updated_at,updated_by
058949db-0e94-42da-808e-9223ee1aee25,2026-11-19,100,17:00:00,true,2026-05-23 00:00:49.127001,2026-05-23 13:00:42.203,
079e7691-45ca-4703-a460-f8627f7f6dbc,2026-11-26,100,16:30:00,true,2026-05-30 00:09:14.921397,2026-05-30 00:09:14.921397,
084f101d-dfc6-4fd9-b752-4a0b4c864725,2026-12-09,100,16:30:00,true,2026-06-12 00:19:23.542299,2026-06-12 00:19:23.542299,
12d14b26-9605-4361-89fe-3661daf3977b,2026-12-04,100,16:30:00,true,2026-06-07 00:19:23.40391,2026-06-07 00:19:23.40391,
198a60da-22c3-44ea-915c-87f5552ae22c,2026-12-05,100,16:30:00,true,2026-06-08 00:19:23.261336,2026-06-08 00:19:23.261336,
19d8df4e-819c-4220-9377-4b6e109dec4a,2026-11-18,100,17:00:00,true,2026-05-22 00:00:44.181411,2026-05-23 13:00:42.203,
23ef9075-0262-403f-b05a-69d7328177be,2026-11-13,100,17:00:00,true,2026-05-17 00:00:34.132956,2026-05-23 13:00:42.203,
39a621ba-37c8-4f26-9ce3-254b4d8428f4,2026-11-28,100,16:30:00,true,2026-06-01 00:09:14.546405,2026-06-01 00:09:14.546405,
3ef7b059-d720-4e75-998f-107f4a6ea078,2026-11-27,100,16:30:00,true,2026-05-31 00:09:14.284118,2026-05-31 00:09:14.284118,
497b0eca-c875-417e-8ffb-77765ded8b70,2026-12-11,100,16:30:00,true,2026-06-14 00:19:23.541014,2026-06-14 00:19:23.541014,
4a65da70-4b72-4cec-a4b6-a0ee50aa36ca,2026-07-01,100,17:00:00,true,2026-05-10 10:19:33.61799,2026-05-23 13:00:42.203,
5ade3ae0-e0dd-421a-89e9-d7ea92bc7391,2026-11-11,100,17:00:00,true,2026-05-15 00:00:18.734416,2026-05-23 13:00:42.203,
65c7fbf0-e658-4cb4-8881-491a1cb33e3b,2026-11-21,100,16:30:00,true,2026-05-25 00:00:44.913838,2026-05-25 00:00:44.913838,
73d9b4ad-cc38-436f-a031-56ae40087e23,2026-11-20,100,16:30:00,true,2026-05-24 00:00:44.76912,2026-05-24 00:00:44.76912,
7cc014e2-245b-4f2a-935c-d96a6cba2063,2026-11-23,100,16:30:00,true,2026-05-27 00:00:44.619751,2026-05-27 00:00:44.619751,
7decee81-9c31-4a46-9b0d-df384ed0a773,2026-11-24,100,16:30:00,true,2026-05-28 00:00:44.775793,2026-05-28 00:00:44.775793,
83a6114b-4558-40c7-b3d5-8c7125f18aa5,2026-11-12,100,17:00:00,true,2026-05-16 00:00:33.831929,2026-05-23 13:00:42.203,
8a724df0-861a-462a-96c4-be546efb8e0f,2026-11-22,100,16:30:00,true,2026-05-26 00:00:44.821595,2026-05-26 00:00:44.821595,
9e0b3895-3284-42ee-8fbb-7af68a6f1b95,2026-11-16,100,17:00:00,true,2026-05-20 00:00:31.456008,2026-05-23 13:00:42.203,
a105f19f-b6dd-42b3-8865-1ce6745206b9,2026-12-08,100,16:30:00,true,2026-06-11 00:19:23.928743,2026-06-11 00:19:23.928743,
a7f3f0c7-0d7d-477e-bc74-3058f863cd9e,2026-11-17,100,17:00:00,true,2026-05-21 00:01:33.708848,2026-05-23 13:00:42.203,
b525305c-beab-40db-8047-59749ec97708,2026-12-10,100,16:30:00,true,2026-06-13 00:19:23.585896,2026-06-13 00:19:23.585896,
b77cfb9b-25e0-49cf-9442-324147aeadcd,2026-11-14,100,17:00:00,true,2026-05-18 00:00:45.636637,2026-05-23 13:00:42.203,
bbcb906d-eb5b-4f96-a506-21b6f0dc9533,2026-11-25,100,16:30:00,true,2026-05-29 00:00:43.219505,2026-05-29 00:00:43.219505,
be37b428-6054-45d0-9414-2dd11264aed9,2026-12-01,100,16:30:00,true,2026-06-04 00:46:53.791618,2026-06-04 00:46:53.791618,
c61051fb-d2ef-4d7f-a3e3-e36eb2c492cc,2026-12-03,100,16:30:00,true,2026-06-06 00:19:23.662318,2026-06-06 00:19:23.662318,
c656560c-945e-4591-a5e0-9c539de88b17,2026-11-30,100,16:30:00,true,2026-06-03 00:09:15.053493,2026-06-03 00:09:15.053493,
cca6e148-68d8-4a9e-b55d-94045ab9ab27,2026-12-06,100,16:30:00,true,2026-06-09 00:19:21.522586,2026-06-09 00:19:21.522586,
d2ca6ec1-d19e-488b-b680-8fb9f1653d52,2026-11-29,100,16:30:00,true,2026-06-02 00:09:14.830911,2026-06-02 00:09:14.830911,
d3f059e3-5440-4389-9eeb-51e6cde26db1,2026-07-07,100,17:00:00,true,2026-05-14 07:33:54.252717,2026-05-23 13:00:42.203,
daf6704a-62b0-470e-8cad-397b57e5332d,2026-12-07,100,16:30:00,true,2026-06-10 00:19:23.516774,2026-06-10 00:19:23.516774,
efd01255-71dd-404e-ad7c-2b345d521c9f,2026-11-15,100,17:00:00,true,2026-05-19 00:00:31.719346,2026-05-23 13:00:42.203,
f637d3bb-c21d-40f2-8eae-162fd4245978,2026-12-02,100,16:30:00,true,2026-06-05 00:19:23.337322,2026-06-05 00:19:23.337322,